id,difficulty,width,height,mines,status,touches,guesses,revealed_count,total_safe_cells,score
132,beginner,9,9,10,won,22,0,71,71,22
133,beginner,9,9,10,won,13,0,71,71,13
134,beginner,9,9,10,won,20,0,71,71,20
135,beginner,9,9,10,won,9,0,71,71,9
136,beginner,9,9,10,won,12,0,71,71,12
137,beginner,9,9,10,won,18,0,71,71,18
138,beginner,9,9,10,won,24,0,71,71,24
139,beginner,9,9,10,won,24,0,71,71,24
140,beginner,9,9,10,won,17,0,71,71,17
141,beginner,9,9,10,lost,19,2,58,71,33
142,beginner,9,9,10,won,19,0,71,71,19
143,beginner,9,9,10,won,23,0,71,71,23
144,beginner,9,9,10,won,18,0,71,71,18
145,beginner,9,9,10,won,26,0,71,71,26
146,beginner,9,9,10,won,10,0,71,71,10
147,beginner,9,9,10,won,17,0,71,71,17
148,beginner,9,9,10,won,23,1,71,71,23
149,beginner,9,9,10,won,7,0,71,71,7
150,beginner,9,9,10,won,12,0,71,71,12
151,beginner,9,9,10,won,16,0,71,71,16
152,beginner,9,9,10,lost,4,3,18,71,58
153,beginner,9,9,10,won,20,2,71,71,20
154,beginner,9,9,10,lost,8,1,66,71,14
155,beginner,9,9,10,won,22,0,71,71,22
156,beginner,9,9,10,lost,7,1,69,71,10
157,beginner,9,9,10,won,28,6,71,71,28
158,beginner,9,9,10,lost,17,1,63,71,26
159,beginner,9,9,10,won,17,0,71,71,17
160,beginner,9,9,10,won,27,2,71,71,27
161,beginner,9,9,10,won,25,1,71,71,25
162,beginner,9,9,10,won,14,1,71,71,14
163,beginner,9,9,10,won,24,0,71,71,24
164,beginner,9,9,10,won,13,0,71,71,13
165,beginner,9,9,10,won,16,0,71,71,16
166,beginner,9,9,10,won,16,0,71,71,16
167,beginner,9,9,10,won,17,0,71,71,17
168,beginner,9,9,10,lost,12,1,63,71,21
169,beginner,9,9,10,won,29,0,71,71,29
170,beginner,9,9,10,lost,8,1,59,71,21
171,beginner,9,9,10,lost,8,1,63,71,17
172,beginner,9,9,10,won,24,0,71,71,24
173,beginner,9,9,10,won,16,0,71,71,16
174,beginner,9,9,10,won,20,0,71,71,20
175,beginner,9,9,10,won,17,0,71,71,17
176,beginner,9,9,10,won,13,0,71,71,13
177,beginner,9,9,10,won,20,0,71,71,20
178,beginner,9,9,10,won,26,0,71,71,26
179,beginner,9,9,10,won,22,0,71,71,22
180,beginner,9,9,10,lost,12,2,70,71,14
181,beginner,9,9,10,won,13,0,71,71,13
182,beginner,9,9,10,lost,4,1,57,71,19
183,beginner,9,9,10,won,23,1,71,71,23
184,beginner,9,9,10,won,21,1,71,71,21
185,beginner,9,9,10,lost,4,1,56,71,20
186,beginner,9,9,10,won,12,0,71,71,12
187,beginner,9,9,10,won,15,0,71,71,15
188,beginner,9,9,10,won,19,0,71,71,19
189,beginner,9,9,10,won,17,0,71,71,17
190,beginner,9,9,10,won,9,0,71,71,9
191,beginner,9,9,10,won,12,0,71,71,12
192,beginner,9,9,10,lost,13,2,67,71,18
193,beginner,9,9,10,won,21,0,71,71,21
194,beginner,9,9,10,won,17,0,71,71,17
195,beginner,9,9,10,won,12,0,71,71,12
196,beginner,9,9,10,won,16,0,71,71,16
197,beginner,9,9,10,lost,22,1,68,71,26
198,beginner,9,9,10,won,26,0,71,71,26
199,beginner,9,9,10,won,11,0,71,71,11
200,beginner,9,9,10,won,12,0,71,71,12
201,beginner,9,9,10,won,21,1,71,71,21
202,beginner,9,9,10,won,19,0,71,71,19
203,beginner,9,9,10,won,19,0,71,71,19
204,beginner,9,9,10,won,23,2,71,71,23
205,beginner,9,9,10,won,23,0,71,71,23
206,beginner,9,9,10,won,13,0,71,71,13
207,beginner,9,9,10,won,20,0,71,71,20
208,beginner,9,9,10,won,17,0,71,71,17
209,beginner,9,9,10,won,13,0,71,71,13
210,beginner,9,9,10,won,13,0,71,71,13
211,beginner,9,9,10,won,14,0,71,71,14
212,beginner,9,9,10,won,13,0,71,71,13
213,beginner,9,9,10,won,25,0,71,71,25
214,beginner,9,9,10,won,22,0,71,71,22
215,beginner,9,9,10,won,15,1,71,71,15
216,beginner,9,9,10,won,9,1,71,71,9
217,beginner,9,9,10,won,23,2,71,71,23
218,beginner,9,9,10,won,27,3,71,71,27
219,beginner,9,9,10,won,13,2,71,71,13
220,beginner,9,9,10,won,10,2,71,71,10
221,beginner,9,9,10,won,18,0,71,71,18
222,beginner,9,9,10,won,16,0,71,71,16
223,beginner,9,9,10,lost,5,1,39,71,38
224,beginner,9,9,10,won,21,0,71,71,21
225,beginner,9,9,10,won,11,0,71,71,11
226,beginner,9,9,10,won,22,0,71,71,22
227,beginner,9,9,10,won,21,1,71,71,21
228,beginner,9,9,10,lost,7,2,63,71,16
229,beginner,9,9,10,won,28,2,71,71,28
230,beginner,9,9,10,won,28,0,71,71,28
231,beginner,9,9,10,won,17,0,71,71,17
232,beginner,9,9,10,won,19,0,71,71,19
233,beginner,9,9,10,won,19,0,71,71,19
234,beginner,9,9,10,won,18,0,71,71,18
235,beginner,9,9,10,won,17,0,71,71,17
236,beginner,9,9,10,won,15,0,71,71,15
237,beginner,9,9,10,lost,15,1,71,71,16
238,beginner,9,9,10,won,14,0,71,71,14
239,beginner,9,9,10,won,15,0,71,71,15
240,beginner,9,9,10,won,20,0,71,71,20
241,beginner,9,9,10,won,15,2,71,71,15
242,beginner,9,9,10,won,22,0,71,71,22
243,beginner,9,9,10,won,17,0,71,71,17
244,beginner,9,9,10,won,19,0,71,71,19
245,beginner,9,9,10,won,19,2,71,71,19
246,beginner,9,9,10,won,20,0,71,71,20
247,beginner,9,9,10,won,20,0,71,71,20
248,beginner,9,9,10,lost,9,1,68,71,13
249,beginner,9,9,10,lost,9,1,66,71,15
250,beginner,9,9,10,lost,26,1,69,71,29
251,beginner,9,9,10,lost,11,1,70,71,13
252,beginner,9,9,10,won,12,0,71,71,12
253,beginner,9,9,10,won,11,0,71,71,11
254,beginner,9,9,10,won,22,0,71,71,22
255,beginner,9,9,10,won,23,0,71,71,23
256,beginner,9,9,10,won,17,0,71,71,17
257,beginner,9,9,10,won,10,0,71,71,10
258,beginner,9,9,10,won,14,0,71,71,14
259,beginner,9,9,10,won,27,1,71,71,27
260,beginner,9,9,10,won,13,0,71,71,13
261,beginner,9,9,10,won,14,1,71,71,14
262,beginner,9,9,10,won,12,0,71,71,12
263,beginner,9,9,10,won,18,0,71,71,18
264,beginner,9,9,10,won,20,1,71,71,20
265,beginner,9,9,10,won,23,1,71,71,23
266,beginner,9,9,10,won,18,0,71,71,18
267,beginner,9,9,10,won,15,0,71,71,15
268,beginner,9,9,10,won,18,0,71,71,18
269,beginner,9,9,10,won,12,0,71,71,12
270,beginner,9,9,10,won,21,0,71,71,21
271,beginner,9,9,10,won,17,0,71,71,17
272,beginner,9,9,10,lost,24,2,65,71,31
273,beginner,9,9,10,lost,9,1,64,71,17
274,beginner,9,9,10,won,7,0,71,71,7
275,beginner,9,9,10,won,26,0,71,71,26
276,beginner,9,9,10,won,14,0,71,71,14
277,beginner,9,9,10,won,20,0,71,71,20
278,beginner,9,9,10,won,23,0,71,71,23
279,beginner,9,9,10,won,23,0,71,71,23
280,beginner,9,9,10,won,13,1,71,71,13
281,beginner,9,9,10,lost,7,1,67,71,12
282,beginner,9,9,10,won,11,0,71,71,11
283,beginner,9,9,10,won,18,0,71,71,18
284,beginner,9,9,10,won,9,0,71,71,9
285,beginner,9,9,10,lost,15,1,67,71,20
286,beginner,9,9,10,won,18,0,71,71,18
287,beginner,9,9,10,won,12,0,71,71,12
288,beginner,9,9,10,lost,8,1,67,71,13
289,beginner,9,9,10,won,16,0,71,71,16
290,beginner,9,9,10,won,17,0,71,71,17
291,beginner,9,9,10,won,14,0,71,71,14
292,beginner,9,9,10,won,22,1,71,71,22
293,beginner,9,9,10,won,13,0,71,71,13
294,beginner,9,9,10,won,17,0,71,71,17
295,beginner,9,9,10,won,7,0,71,71,7
296,beginner,9,9,10,won,21,0,71,71,21
297,beginner,9,9,10,won,11,0,71,71,11
298,beginner,9,9,10,won,14,0,71,71,14
299,beginner,9,9,10,won,21,0,71,71,21
300,beginner,9,9,10,won,9,0,71,71,9
301,intermediate,16,16,40,won,77,1,216,216,77
302,intermediate,16,16,40,won,100,1,216,216,100
303,intermediate,16,16,40,lost,61,1,215,216,63
304,intermediate,16,16,40,lost,42,1,179,216,80
305,intermediate,16,16,40,won,78,0,216,216,78
306,intermediate,16,16,40,lost,4,3,15,216,206
307,intermediate,16,16,40,won,72,1,216,216,72
308,intermediate,16,16,40,won,77,5,216,216,77
309,intermediate,16,16,40,lost,5,4,30,216,192
310,intermediate,16,16,40,lost,3,2,17,216,203
311,intermediate,16,16,40,lost,70,4,213,216,74
312,intermediate,16,16,40,lost,36,1,138,216,115
