id,difficulty,width,height,mines,status,touches,guesses,revealed_count,total_safe_cells,score,method,guess
106,beginner,9,9,10,won,16,0,71,71,16,naive,probability
107,beginner,9,9,10,won,14,0,71,71,14,naive,probability
108,beginner,9,9,10,won,18,0,71,71,18,naive,probability
109,beginner,9,9,10,won,18,0,71,71,18,naive,probability
110,beginner,9,9,10,won,10,0,71,71,10,naive,probability
111,beginner,9,9,10,won,24,0,71,71,24,naive,probability
112,beginner,9,9,10,won,24,3,71,71,24,naive,probability
113,beginner,9,9,10,lost,16,2,71,71,17,naive,probability
114,beginner,9,9,10,won,18,3,71,71,18,naive,probability
115,beginner,9,9,10,won,16,2,71,71,16,naive,probability
116,beginner,9,9,10,won,17,0,71,71,17,naive,probability
117,beginner,9,9,10,won,12,0,71,71,12,naive,probability
118,beginner,9,9,10,won,18,0,71,71,18,naive,probability
119,beginner,9,9,10,won,26,8,71,71,26,naive,probability
120,beginner,9,9,10,won,21,0,71,71,21,naive,probability
121,beginner,9,9,10,won,16,0,71,71,16,naive,probability
122,beginner,9,9,10,won,17,0,71,71,17,naive,probability
123,beginner,9,9,10,won,14,0,71,71,14,naive,probability
124,beginner,9,9,10,won,17,2,71,71,17,naive,probability
125,beginner,9,9,10,won,22,0,71,71,22,naive,probability
126,beginner,9,9,10,won,25,0,71,71,25,naive,probability
127,beginner,9,9,10,won,31,2,71,71,31,naive,probability
128,beginner,9,9,10,won,23,0,71,71,23,naive,probability
129,beginner,9,9,10,won,18,3,71,71,18,naive,probability
130,beginner,9,9,10,won,19,0,71,71,19,naive,probability
131,beginner,9,9,10,won,13,0,71,71,13,naive,probability
132,beginner,9,9,10,won,22,0,71,71,22,naive,probability
133,beginner,9,9,10,won,13,0,71,71,13,naive,probability
134,beginner,9,9,10,won,20,0,71,71,20,naive,probability
135,beginner,9,9,10,won,9,0,71,71,9,naive,probability
136,beginner,9,9,10,won,12,0,71,71,12,naive,probability
137,beginner,9,9,10,won,18,0,71,71,18,naive,probability
138,beginner,9,9,10,won,24,0,71,71,24,naive,probability
139,beginner,9,9,10,won,24,0,71,71,24,naive,probability
140,beginner,9,9,10,won,17,0,71,71,17,naive,probability
141,beginner,9,9,10,won,32,2,71,71,32,naive,probability
142,beginner,9,9,10,won,19,0,71,71,19,naive,probability
143,beginner,9,9,10,won,23,0,71,71,23,naive,probability
144,beginner,9,9,10,won,18,0,71,71,18,naive,probability
145,beginner,9,9,10,won,26,0,71,71,26,naive,probability
146,beginner,9,9,10,won,10,0,71,71,10,naive,probability
147,beginner,9,9,10,won,17,0,71,71,17,naive,probability
148,beginner,9,9,10,won,23,2,71,71,23,naive,probability
149,beginner,9,9,10,won,7,0,71,71,7,naive,probability
150,beginner,9,9,10,won,12,0,71,71,12,naive,probability
151,beginner,9,9,10,won,16,0,71,71,16,naive,probability
152,beginner,9,9,10,lost,23,9,68,71,27,naive,probability
153,beginner,9,9,10,won,20,2,71,71,20,naive,probability
154,beginner,9,9,10,won,13,1,71,71,13,naive,probability
155,beginner,9,9,10,won,22,0,71,71,22,naive,probability
156,beginner,9,9,10,won,9,1,71,71,9,naive,probability
157,beginner,9,9,10,lost,4,3,18,71,58,naive,probability
158,beginner,9,9,10,won,22,4,71,71,22,naive,probability
159,beginner,9,9,10,won,17,0,71,71,17,naive,probability
160,beginner,9,9,10,won,27,2,71,71,27,naive,probability
161,beginner,9,9,10,won,25,3,71,71,25,naive,probability
162,beginner,9,9,10,won,14,1,71,71,14,naive,probability
163,beginner,9,9,10,won,24,0,71,71,24,naive,probability
164,beginner,9,9,10,won,13,0,71,71,13,naive,probability
165,beginner,9,9,10,won,16,0,71,71,16,naive,probability
166,beginner,9,9,10,won,16,0,71,71,16,naive,probability
167,beginner,9,9,10,won,17,0,71,71,17,naive,probability
168,beginner,9,9,10,won,16,2,71,71,16,naive,probability
169,beginner,9,9,10,won,29,0,71,71,29,naive,probability
170,beginner,9,9,10,won,20,2,71,71,20,naive,probability
171,beginner,9,9,10,won,16,1,71,71,16,naive,probability
172,beginner,9,9,10,won,24,0,71,71,24,naive,probability
173,beginner,9,9,10,won,16,0,71,71,16,naive,probability
174,beginner,9,9,10,won,20,0,71,71,20,naive,probability
175,beginner,9,9,10,won,17,0,71,71,17,naive,probability
176,beginner,9,9,10,won,13,0,71,71,13,naive,probability
177,beginner,9,9,10,won,20,0,71,71,20,naive,probability
178,beginner,9,9,10,won,26,0,71,71,26,naive,probability
179,beginner,9,9,10,won,22,0,71,71,22,naive,probability
180,beginner,9,9,10,won,13,2,71,71,13,naive,probability
181,beginner,9,9,10,won,13,0,71,71,13,naive,probability
182,beginner,9,9,10,won,18,3,71,71,18,naive,probability
183,beginner,9,9,10,won,23,2,71,71,23,naive,probability
184,beginner,9,9,10,won,21,2,71,71,21,naive,probability
185,beginner,9,9,10,won,12,1,71,71,12,naive,probability
186,beginner,9,9,10,won,12,0,71,71,12,naive,probability
187,beginner,9,9,10,won,15,0,71,71,15,naive,probability
188,beginner,9,9,10,won,19,0,71,71,19,naive,probability
189,beginner,9,9,10,won,17,0,71,71,17,naive,probability
190,beginner,9,9,10,won,9,0,71,71,9,naive,probability
191,beginner,9,9,10,won,12,0,71,71,12,naive,probability
192,beginner,9,9,10,lost,15,4,69,71,18,naive,probability
193,beginner,9,9,10,won,21,0,71,71,21,naive,probability
194,beginner,9,9,10,won,17,0,71,71,17,naive,probability
195,beginner,9,9,10,won,12,0,71,71,12,naive,probability
196,beginner,9,9,10,won,16,0,71,71,16,naive,probability
197,beginner,9,9,10,won,25,1,71,71,25,naive,probability
198,beginner,9,9,10,won,26,0,71,71,26,naive,probability
199,beginner,9,9,10,won,11,0,71,71,11,naive,probability
200,beginner,9,9,10,won,12,0,71,71,12,naive,probability
201,beginner,9,9,10,won,22,5,71,71,22,naive,probability
202,beginner,9,9,10,won,19,0,71,71,19,naive,probability
203,beginner,9,9,10,won,19,0,71,71,19,naive,probability
204,beginner,9,9,10,won,19,1,71,71,19,naive,probability
205,beginner,9,9,10,won,23,0,71,71,23,naive,probability
206,beginner,9,9,10,won,13,0,71,71,13,naive,probability
207,beginner,9,9,10,won,20,0,71,71,20,naive,probability
208,beginner,9,9,10,won,17,0,71,71,17,naive,probability
209,beginner,9,9,10,won,13,0,71,71,13,naive,probability
210,beginner,9,9,10,won,13,0,71,71,13,naive,probability
211,beginner,9,9,10,won,14,0,71,71,14,naive,probability
212,beginner,9,9,10,won,13,0,71,71,13,naive,probability
213,beginner,9,9,10,won,25,0,71,71,25,naive,probability
214,beginner,9,9,10,won,22,0,71,71,22,naive,probability
215,beginner,9,9,10,won,15,2,71,71,15,naive,probability
216,beginner,9,9,10,won,9,1,71,71,9,naive,probability
